# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
0,3520,272
0,3520,137
0,3520,136
0,4186,136
0,4434,136
0,5274,544
0,5274,273
0,5587,135
0,5919,137
0,7040,272
0,3520,272
0,3520,135
0,3520,137
0,4186,136
0,4434,135
0,5274,545
0,5274,273
0,5587,135
0,5919,135
0,7040,273
0,14080,272
0,14080,135
0,14080,137
0,17739,272
0,21096,272
0,3520,272
0,21096,272
0,23679,272
0,28160,272
0,28160,273
0,28160,135
0,28160,135
0,35479,273
0,42192,272
0,3520,272
0,42192,272
0,47359,272
0,56320,272
21096,21096,272
21096,3520,272
23679,23679,273
17739,3520,272
21096,21096,271
23679,3520,272
0,23679,272
28160,3520,136
0,3520,136
0,21096,272
28160,2959,272
31608,23679,272
23679,2959,272
28160,21096,272
31608,2959,272
28160,23679,272
35479,2959,271
0,23679,272
37589,4698,272
35479,23679,272
37589,4698,136
0,23679,135
35479,23679,272
31608,4698,272
31608,23679,272
35479,3520,136
0,3520,136
31608,23679,272
28160,4698,272
0,23679,271
0,4698,137
0,23679,135
35479,23679,272
0,3520,272
37589,23679,272
0,4698,272
42192,21096,272
0,3520,272
0,3520,272
47359,3520,136
0,3520,136
0,23679,272
0,4434,271
35479,4434,272
31608,4434,136
0,4434,136
28160,23679,272
23679,5919,272
28160,5919,272
35479,5919,135
0,5919,137
0,28160,272
0,3520,272
31608,3520,272
0,3520,272
28160,23679,271
23679,4698,272
28160,23679,272
37589,4698,136
0,4698,136
0,23679,272
0,4698,272
35479,23679,272
31608,4698,135
0,4698,136
35479,26579,272
31608,5274,272
0,5274,272
0,5274,271
0,5274,272
0,26579,273
0,26579,272
21096,26579,271
0,21096,273
21096,3520,273
23679,23679,271
17739,3520,272
21096,21096,273
23679,3520,272
21096,23679,272
28160,3520,137
0,3520,135
0,21096,273
28160,2959,272
31608,23679,271
23679,2959,273
28160,21096,273
31608,2959,271
0,23679,272
35479,2959,273
0,23679,272
37589,4698,272
35479,23679,272
37589,4698,136
0,23679,137
35479,23679,272
0,4698,271
31608,23679,273
35479,3520,136
0,3520,137
31608,23679,271
28160,4698,137
31608,0,135
0,23679,273
0,4698,135
0,23679,137
35479,23679,272
0,3520,272
37589,23679,273
0,4698,272
42192,21096,271
0,3520,273
0,3520,273
47359,3520,135
0,3520,136
0,23679,272
0,4434,273
35479,4434,272
31608,4434,136
0,4434,136
28160,23679,272
23679,5919,273
28160,5919,272
35479,5919,136
0,5919,135
0,28160,273
0,3520,273
31608,3520,271
0,3520,272
28160,23679,273
23679,4698,272
28160,23679,272
37589,4434,137
0,4434,135
0,23679,273
0,3951,271
0,3951,272
0,3951,137
0,3951,136
0,23679,273
0,5274,271
42192,5274,272
0,5274,136
0,5274,137
35479,5274,135
31608,0,137
28160,5274,272
31608,5274,272
31608,5274,273
28160,21096,271
0,3520,272
0,23679,273
0,3520,136
0,3520,137
0,21096,271
0,3520,272
0,26579,136
0,28160,137
28160,31608,135
0,35479,137
47359,37589,272
47359,4698,137
47359,0,135
47359,4698,273
47359,4698,271
47359,31608,272
42192,5274,273
37589,5274,273
42192,5274,271
0,42192,272
0,7040,273
42192,7040,272
42192,7040,272
42192,35479,272
37589,7040,273
35479,7040,271
37589,7040,272
0,37589,273
0,7902,273
37589,7902,271
37589,7902,272
37589,31608,273
35479,5274,272
31608,5274,272
35479,5274,272
0,35479,273
0,21096,271
0,23679,272
42192,23679,273
0,21096,273
0,21096,271
0,23679,272
28160,23679,273
47359,37589,272
47359,4698,272
47359,4698,272
47359,4698,273
47359,31608,271
42192,5274,272
37589,5274,273
42192,5274,273
0,42192,271
0,7040,272
42192,7040,272
42192,7040,273
