# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
28160,11839,188
0,5919,187
0,5919,187
26579,11175,187
0,5587,187
0,5587,187
25087,10548,187
0,5274,187
19912,9956,561
19912,9956,563
63217,0,93
63217,0,92
47359,0,94
47359,0,93
53159,10548,188
0,15804,186
0,21096,186
53159,23679,188
47359,11839,188
47359,17739,186
47359,23679,187
39824,29834,187
0,6644,187
47359,9956,187
0,13289,187
0,14917,187
0,15804,187
0,19912,187
63217,17739,94
63217,0,92
47359,14917,93
47359,0,94
53159,10548,187
0,15804,187
0,21096,187
53159,23679,187
47359,5919,187
53159,8869,187
47359,11839,187
39824,14917,187
31608,15804,375
29834,14917,375
23679,13289,375
63217,11839,93
63217,0,92
47359,5919,94
47359,0,93
53159,10548,188
0,15804,186
53159,21096,186
53159,31608,188
59668,11839,188
0,17739,186
59668,29834,186
79648,31608,188
50175,25087,188
70958,12543,186
63217,17739,186
59668,21096,188
63217,13289,188
23679,15804,186
26579,19912,186
39824,26579,188
70958,2637,188
0,5274,186
0,7902,186
0,10548,188
0,5274,188
0,7902,186
0,10548,186
0,13289,188
59668,11839,188
0,8869,186
94718,5919,93
70958,0,92
59668,0,94
47359,0,93
70958,0,93
59668,0,94
47359,0,92
35479,0,93
59668,2959,93
47359,0,92
35479,0,94
29834,0,93
47359,10548,188
0,10548,186
31608,0,375
29834,0,188
29834,5274,186
31608,5274,187
47359,5919,375
63217,0,187
63217,0,187
63217,0,187
59668,0,187
63217,0,187
59668,0,187
63217,0,187
126434,0,13
112640,0,12
100350,0,13
89402,0,13
84384,0,12
75178,0,13
66976,0,15
63217,0,12
56320,0,13
50175,0,12
44701,0,13
42192,0,13
37589,0,12
33488,0,15
31608,6271,187
26579,3322,187
26579,6644,187
39824,9956,187
35479,5274,374
31608,5274,187
0,10548,187
31608,5274,187
29834,2489,187
31608,4978,187
29834,7458,187
23679,5919,187
0,8869,187
0,11839,187
0,15804,187
0,14917,187
26579,3322,187
26579,6644,187
39824,9956,187
35479,5274,374
31608,5274,187
0,10548,187
31608,5274,187
37589,2489,187
35479,4978,187
31608,7458,187
39824,14917,374
47359,8869,375
0,4978,187
0,3322,187
0,6644,93
0,3322,94
26579,6644,187
26579,9956,187
26579,13289,187
0,14917,187
26579,15804,187
31608,9956,187
0,6644,187
29834,9956,187
26579,13289,187
26579,14917,187
0,17739,187
26579,9956,187
26579,14917,187
29834,15804,187
31608,3322,187
0,6644,93
0,3322,94
29834,6644,187
0,9956,187
26579,13289,187
23679,14917,187
0,15804,187
26579,9956,187
0,6644,187
0,9956,187
0,14917,187
0,17739,187
0,9956,187
0,13289,187
0,14917,187
0,15804,187
0,3322,187
0,6644,93
0,3322,94
26579,6644,187
0,9956,187
26579,13289,187
0,14917,187
23679,15804,187
26579,9956,187
0,6644,186
23679,9956,188
26579,14917,188
0,17739,186
0,9956,186
19912,13289,188
17739,14917,188
15804,15804,186
35479,2217,186
0,4434,188
0,6644,188
42192,15804,373
