# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
42192,42192,476
42192,42192,476
42192,42192,1428
39824,39824,238
42192,42192,237
47359,47359,237
42192,42192,237
39824,39824,238
35479,35479,237
35479,35479,477
31608,31608,237
26579,26579,237
31608,31608,1190
28160,28160,237
26579,26579,237
28160,28160,238
31608,31608,238
28160,28160,238
26579,26579,237
23679,23679,237
21096,21096,475
42192,42192,475
42192,42192,1191
42192,42192,237
39824,39824,237
42192,42192,237
47359,47359,237
42192,42192,237
39824,39824,237
35479,35479,238
35479,35479,237
31608,31608,238
31608,31608,238
26579,26579,237
31608,31608,1189
28160,28160,237
26579,26579,238
28160,28160,237
31608,31608,477
35479,35479,237
39824,39824,237
42192,42192,475
42192,42192,475
42192,42192,1429
39824,39824,237
42192,42192,237
47359,47359,237
42192,42192,237
39824,39824,237
35479,35479,238
35479,35479,476
31608,31608,238
26579,26579,237
31608,31608,1189
28160,28160,238
26579,26579,237
28160,28160,238
31608,31608,238
28160,28160,237
26579,26579,237
23679,23679,237
21096,21096,475
42192,42192,475
47359,47359,475
42192,42192,715
42192,42192,237
39824,39824,237
42192,42192,237
47359,47359,237
42192,42192,237
39824,39824,237
35479,35479,237
35479,35479,477
31608,31608,237
26579,26579,237
31608,31608,1189
28160,28160,237
26579,26579,237
28160,28160,239
31608,31608,1427
33488,33488,237
42192,42192,237
42192,42192,477
56320,56320,475
50175,50175,713
42192,42192,237
42192,42192,475
50175,50175,237
44701,44701,237
44701,44701,953
37589,37589,475
42192,42192,475
44701,44701,475
42192,42192,239
37589,37589,237
37589,37589,1427
33488,33488,237
42192,42192,237
42192,42192,477
56320,56320,475
50175,50175,713
42192,42192,237
42192,42192,475
50175,50175,477
44701,44701,951
37589,37589,475
42192,42192,475
44701,44701,475
42192,42192,239
37589,37589,237
37589,37589,1427
35479,35479,475
35479,35479,477
37589,37589,475
42192,42192,475
37589,37589,475
35479,35479,953
37589,37589,475
35479,35479,475
31608,31608,951
39824,39824,477
35479,35479,237
31608,31608,237
31608,31608,475
35479,35479,237
39824,39824,237
42192,42192,475
42192,42192,475
42192,42192,1191
42192,42192,237
39824,39824,237
42192,42192,237
47359,47359,237
42192,42192,237
39824,39824,239
35479,35479,237
35479,35479,475
31608,31608,237
26579,26579,237
31608,31608,1189
28160,28160,239
26579,26579,237
28160,28160,237
31608,31608,237
28160,28160,237
26579,26579,237
23679,23679,237
21096,21096,475
42192,42192,475
47359,47359,477
42192,42192,713
42192,42192,237
39824,39824,237
42192,42192,237
47359,47359,237
42192,42192,237
39824,39824,239
35479,35479,237
35479,35479,475
31608,31608,237
26579,26579,237
31608,31608,1189
28160,28160,239
26579,26579,237
28160,28160,237
31608,31608,1427
25087,25087,477
31608,31608,475
37589,37589,475
47359,47359,475
42192,42192,475
56320,56320,475
50175,50175,477
47359,47359,475
42192,42192,475
50175,50175,475
47359,47359,475
42192,42192,477
37589,37589,475
35479,35479,475
31608,31608,951
25087,25087,477
31608,31608,475
37589,37589,475
47359,47359,475
42192,42192,475
56320,56320,477
50175,50175,475
47359,47359,475
42192,42192,475
50175,50175,475
47359,47359,475
42192,42192,477
39824,39824,475
31608,31608,951
42192,42192,475
42192,42192,477
42192,42192,1189
42192,42192,237
39824,39824,237
42192,42192,237
47359,47359,237
42192,42192,239
39824,39824,237
35479,35479,237
35479,35479,237
31608,31608,237
31608,31608,237
26579,26579,237
31608,31608,1191
28160,28160,237
26579,26579,237
28160,28160,237
31608,31608,237
28160,28160,237
26579,26579,237
23679,23679,237
21096,21096,475
42192,42192,477
47359,47359,475
42192,42192,713
42192,42192,237
39824,39824,237
42192,42192,237
47359,47359,239
42192,42192,237
39824,39824,237
35479,35479,237
35479,35479,237
31608,31608,237
31608,31608,237
26579,26579,237
31608,31608,1191
28160,28160,237
26579,26579,237
28160,28160,237
31608,31608,1429
33488,33488,237
42192,42192,237
